Name,API_Name,Instance_Memory,vCPUs,GiB_of_Memory_per_vCPU,GPUs,Instance_Storage,On_Demand,Linux_Reserved_cost,Windows_Reserved_Cost,Windows_Spot_Cost,Service_Provider
D48as v6,D48as v6,192.0 GiB,48 vCPUs,4.00 GiB/vCPU,0,0,$4.1900 hourly,unavailable,unavailable,$1.0475 hourly,Microsoft Azure
Standard E64ads v5,E64ads v5,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,2400,$4.1920 hourly,$2.4733 hourly,$5.4173 hourly,$0.7136 hourly,Microsoft Azure
Standard EC64ads v5,EC64ads v5,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,2400,$4.1920 hourly,$3.3537 hourly,$6.2976 hourly,$4.9952 hourly,Microsoft Azure
E64ads v6,E64ads v6,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,2400,$4.2240 hourly,unavailable,unavailable,$1.7920 hourly,Microsoft Azure
NC64as T4 v3,NC64as T4 v3,448.0 GiB,64 vCPUs,7.00 GiB/vCPU,4X T4,2880,$4.3520 hourly,$2.5590 hourly,$5.5030 hourly,$0.7296 hourly,Microsoft Azure
F48ams v6,F48ams v6,384.0 GiB,48 vCPUs,8.00 GiB/vCPU,0,0,$4.4590 hourly,unavailable,unavailable,$1.6667 hourly,Microsoft Azure
Standard FX48mds,FX48mds,1008.0 GiB,48 vCPUs,21.00 GiB/vCPU,0,2016,$4.4640 hourly,$2.6338 hourly,$4.8418 hourly,$0.6672 hourly,Microsoft Azure
Standard NV36adms A10 v5,NV36adms A10 v5,880.0 GiB,36 vCPUs,24.44 GiB/vCPU,1X A10,720,$4.5200 hourly,$2.8928 hourly,$4.5488 hourly,$1.5440 hourly,Microsoft Azure
F72als v6,F72als v6,144.0 GiB,72 vCPUs,2.00 GiB/vCPU,0,0,$4.5220 hourly,unavailable,unavailable,$1.9585 hourly,Microsoft Azure
F64as v6,F64as v6,256.0 GiB,64 vCPUs,4.00 GiB/vCPU,0,0,$4.5440 hourly,unavailable,unavailable,$1.8720 hourly,Microsoft Azure
Standard NV48s v3,NV48s v3,448.0 GiB,48 vCPUs,9.33 GiB/vCPU,4X M60,2948,$4.5600 hourly,$2.9047 hourly,$5.1127 hourly,$0.6768 hourly,Microsoft Azure
Standard NV24,NV24,224.0 GiB,24 vCPUs,9.33 GiB/vCPU,4X M60,1440,$4.5600 hourly,unavailable,unavailable,$0.5761 hourly,Microsoft Azure
Standard D96as v4,D96as v4,384.0 GiB,96 vCPUs,4.00 GiB/vCPU,0,768,$4.6080 hourly,$2.7095 hourly,$7.1255 hourly,$0.9024 hourly,Microsoft Azure
Standard D96a v4,D96a v4,384.0 GiB,96 vCPUs,4.00 GiB/vCPU,0,2400,$4.6080 hourly,$2.7095 hourly,$7.1255 hourly,$0.9024 hourly,Microsoft Azure
D96lds v5,D96lds v5,192.0 GiB,96 vCPUs,2.00 GiB/vCPU,0,3600,$4.6080 hourly,$2.7187 hourly,$7.1347 hourly,$2.2560 hourly,Microsoft Azure
Standard D96s v5,D96s v5,384.0 GiB,96 vCPUs,4.00 GiB/vCPU,0,0,$4.6080 hourly,$2.7187 hourly,$7.1347 hourly,$0.9024 hourly,Microsoft Azure
Standard D96 v5,D96 v5,384.0 GiB,96 vCPUs,4.00 GiB/vCPU,0,0,$4.6080 hourly,$2.7187 hourly,$7.1347 hourly,$0.9024 hourly,Microsoft Azure
Standard E64ds v4,E64ds v4,504.0 GiB,64 vCPUs,7.88 GiB/vCPU,0,2400,$4.6080 hourly,$2.7095 hourly,$5.6535 hourly,$0.7552 hourly,Microsoft Azure
Standard E64ds v5,E64ds v5,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,2400,$4.6080 hourly,$2.7187 hourly,$5.6627 hourly,$0.7552 hourly,Microsoft Azure
Standard E64d v4,E64d v4,504.0 GiB,64 vCPUs,7.88 GiB/vCPU,0,2400,$4.6080 hourly,$2.7095 hourly,$5.6535 hourly,$0.7552 hourly,Microsoft Azure
Standard E64d v5,E64d v5,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,2400,$4.6080 hourly,$2.7187 hourly,$5.6627 hourly,$0.7552 hourly,Microsoft Azure
Standard DC48s v3,DC48s v3,384.0 GiB,48 vCPUs,8.00 GiB/vCPU,0,0,$4.6080 hourly,$3.6864 hourly,$5.8944 hourly,$0.6816 hourly,Microsoft Azure
Standard E64bs v5,E64bs v5,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,0,$4.7680 hourly,$2.8131 hourly,$5.7571 hourly,$0.7712 hourly,Microsoft Azure
E48as v6,E48as v6,384.0 GiB,48 vCPUs,8.00 GiB/vCPU,0,0,$4.8100 hourly,unavailable,unavailable,$0.6505 hourly,Microsoft Azure
Standard D96ads v5,D96ads v5,384.0 GiB,96 vCPUs,4.00 GiB/vCPU,0,3600,$4.9440 hourly,$2.9170 hourly,$7.3330 hourly,$0.9360 hourly,Microsoft Azure
Standard DC96ads v5,DC96ads v5,384.0 GiB,96 vCPUs,4.00 GiB/vCPU,0,3600,$4.9440 hourly,$3.9552 hourly,$8.3712 hourly,$6.5520 hourly,Microsoft Azure
D96ads v6,D96ads v6,384.0 GiB,96 vCPUs,4.00 GiB/vCPU,0,3400,$4.9820 hourly,unavailable,unavailable,$2.3495 hourly,Microsoft Azure
Standard L64as v3,L64as v3,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,640,$4.9920 hourly,$3.1949 hourly,$6.1389 hourly,$0.8745 hourly,Microsoft Azure
Standard L64s v2,L64s v2,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,640,$4.9920 hourly,$3.1799 hourly,$6.1239 hourly,$0.7936 hourly,Microsoft Azure
Standard E80is v4,E80is v4,504.0 GiB,80 vCPUs,6.30 GiB/vCPU,0,2400,$5.0400 hourly,$2.9635 hourly,$6.6435 hourly,$0.8720 hourly,Microsoft Azure
F72as v6,F72as v6,288.0 GiB,72 vCPUs,4.00 GiB/vCPU,0,0,$5.1120 hourly,unavailable,unavailable,$2.1060 hourly,Microsoft Azure
Standard E64bds v5,E64bds v5,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,2400,$5.3440 hourly,$3.1530 hourly,$6.0970 hourly,$0.8288 hourly,Microsoft Azure
Standard M64ls,M64ls,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,2048,$5.4150 hourly,$3.1140 hourly,$6.0580 hourly,$0.8359 hourly,Microsoft Azure
Standard D96ds v5,D96ds v5,384.0 GiB,96 vCPUs,4.00 GiB/vCPU,0,3600,$5.4240 hourly,$3.2001 hourly,$7.6161 hourly,$0.9840 hourly,Microsoft Azure
Standard D96d v5,D96d v5,384.0 GiB,96 vCPUs,4.00 GiB/vCPU,0,3600,$5.4240 hourly,$3.2001 hourly,$7.6161 hourly,$0.9840 hourly,Microsoft Azure
Standard E96as v5,E96as v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,0,$5.4240 hourly,$3.2001 hourly,$7.6161 hourly,$0.9840 hourly,Microsoft Azure
