Name,API_Name,Instance_Memory,vCPUs,GiB_of_Memory_per_vCPU,GPUs,Instance_Storage,On_Demand,Linux_Reserved_cost,Windows_Reserved_Cost,Windows_Spot_Cost,Service_Provider
Standard B1ls,B1ls,0.5 GiB,1 vCPUs,0.50 GiB/vCPU,0,4,$0.0052 hourly,$0.0031 hourly,unavailable,unavailable,Microsoft Azure
B2pts v2,B2pts v2,1.0 GiB,2 vCPUs,0.50 GiB/vCPU,0,0,$0.0084 hourly,$0.0049 hourly,unavailable,unavailable,Microsoft Azure
B2ats v2,B2ats v2,1.0 GiB,2 vCPUs,0.50 GiB/vCPU,0,0,$0.0094 hourly,$0.0056 hourly,$0.0136 hourly,$0.0046 hourly,Microsoft Azure
B2ts v2,B2ts v2,1.0 GiB,2 vCPUs,0.50 GiB/vCPU,0,0,$0.0104 hourly,$0.0062 hourly,$0.0142 hourly,$0.0049 hourly,Microsoft Azure
Standard B1s,B1s,1.0 GiB,1 vCPUs,1.00 GiB/vCPU,0,4,$0.0104 hourly,$0.0060 hourly,$0.0100 hourly,unavailable,Microsoft Azure
Basic A0,A0,0.75 GiB,1 vCPUs,0.75 GiB/vCPU,0,20,$0.0200 hourly,unavailable,unavailable,$0.0140 hourly,Microsoft Azure
Standard B1ms,B1ms,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,4,$0.0207 hourly,$0.0122 hourly,$0.0162 hourly,unavailable,Microsoft Azure
B2pls v2,B2pls v2,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,0,$0.0336 hourly,$0.0199 hourly,unavailable,unavailable,Microsoft Azure
B2als v2,B2als v2,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,0,$0.0376 hourly,$0.0221 hourly,$0.0301 hourly,$0.0117 hourly,Microsoft Azure
B2ls v2,B2ls v2,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,0,$0.0416 hourly,$0.0245 hourly,$0.0325 hourly,$0.0127 hourly,Microsoft Azure
Standard B2s,B2s,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,8,$0.0416 hourly,$0.0243 hourly,$0.0323 hourly,unavailable,Microsoft Azure
Standard A1 v2,A1 v2,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,10,$0.0430 hourly,$0.0253 hourly,$0.0713 hourly,$0.0065 hourly,Microsoft Azure
Standard F1,F1,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,16,$0.0497 hourly,$0.0309 hourly,$0.0769 hourly,$0.0100 hourly,Microsoft Azure
Standard F1s,F1s,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,4,$0.0497 hourly,$0.0309 hourly,$0.0769 hourly,$0.0100 hourly,Microsoft Azure
Basic A1,A1,1.75 GiB,1 vCPUs,1.75 GiB/vCPU,0,40,$0.0600 hourly,unavailable,unavailable,$0.0630 hourly,Microsoft Azure
F1als v6,F1als v6,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,0,$0.0628 hourly,unavailable,unavailable,$0.0272 hourly,Microsoft Azure
B2ps v2,B2ps v2,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.0672 hourly,$0.0396 hourly,unavailable,unavailable,Microsoft Azure
Standard D2pls v5,D2pls v5,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,0,$0.0680 hourly,$0.0401 hourly,unavailable,unavailable,Microsoft Azure
F1as v6,F1as v6,4.0 GiB,1 vCPUs,4.00 GiB/vCPU,0,0,$0.0710 hourly,unavailable,unavailable,$0.0293 hourly,Microsoft Azure
D2als v6,D2als v6,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,0,$0.0730 hourly,unavailable,unavailable,$0.0413 hourly,Microsoft Azure
Standard D1 v2,D1 v2,3.5 GiB,1 vCPUs,3.50 GiB/vCPU,0,50,$0.0730 hourly,$0.0308 hourly,$0.0768 hourly,$0.0131 hourly,Microsoft Azure
Standard DS1 v2,DS1 v2,3.5 GiB,1 vCPUs,3.50 GiB/vCPU,0,7,$0.0730 hourly,$0.0308 hourly,$0.0768 hourly,$0.0131 hourly,Microsoft Azure
B2as v2,B2as v2,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.0752 hourly,$0.0444 hourly,$0.0524 hourly,$0.0211 hourly,Microsoft Azure
Standard D2plds v5,D2plds v5,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,75,$0.0768 hourly,$0.0453 hourly,unavailable,unavailable,Microsoft Azure
Standard D2ps v5,D2ps v5,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.0770 hourly,$0.0454 hourly,unavailable,unavailable,Microsoft Azure
Standard D1,D1,3.5 GiB,1 vCPUs,3.50 GiB/vCPU,0,50,$0.0770 hourly,$0.0403 hourly,$0.0863 hourly,$0.0140 hourly,Microsoft Azure
D1s,D1s,3.5 GiB,1 vCPUs,3.50 GiB/vCPU,0,7,$0.0770 hourly,$0.0403 hourly,$0.0863 hourly,$0.0140 hourly,Microsoft Azure
Standard B2ms,B2ms,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,16,$0.0832 hourly,$0.0486 hourly,$0.0566 hourly,unavailable,Microsoft Azure
B2s v2,B2s v2,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.0832 hourly,$0.0491 hourly,$0.0571 hourly,$0.0231 hourly,Microsoft Azure
Standard F2s v2,F2s v2,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,16,$0.0846 hourly,$0.0500 hourly,$0.1420 hourly,$0.0163 hourly,Microsoft Azure
D2ls v5,D2ls v5,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,0,$0.0850 hourly,$0.0501 hourly,$0.1421 hourly,$0.0442 hourly,Microsoft Azure
Standard D2as v5,D2as v5,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.0860 hourly,$0.0507 hourly,$0.1427 hourly,$0.0178 hourly,Microsoft Azure
Standard DC2as v5,DC2as v5,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.0860 hourly,$0.0688 hourly,$0.1608 hourly,$0.1246 hourly,Microsoft Azure
D2alds v6,D2alds v6,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,75,$0.0866 hourly,unavailable,unavailable,$0.0447 hourly,Microsoft Azure
Standard A2 v2,A2 v2,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,20,$0.0903 hourly,$0.0533 hourly,$0.1453 hourly,$0.0136 hourly,Microsoft Azure
Standard D2pds v5,D2pds v5,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,75,$0.0904 hourly,$0.0533 hourly,unavailable,unavailable,Microsoft Azure
F1ams v6,F1ams v6,8.0 GiB,1 vCPUs,8.00 GiB/vCPU,0,0,$0.0929 hourly,unavailable,unavailable,$0.0348 hourly,Microsoft Azure
Standard D2as v4,D2as v4,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,16,$0.0960 hourly,$0.0564 hourly,$0.1484 hourly,$0.0188 hourly,Microsoft Azure
Standard D2a v4,D2a v4,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,50,$0.0960 hourly,$0.0564 hourly,$0.1484 hourly,$0.0188 hourly,Microsoft Azure
D2lds v5,D2lds v5,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,75,$0.0960 hourly,$0.0566 hourly,$0.1486 hourly,$0.0470 hourly,Microsoft Azure
Standard D2s v3,D2s v3,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,16,$0.0960 hourly,$0.0572 hourly,$0.1492 hourly,$0.0188 hourly,Microsoft Azure
Standard D2s v4,D2s v4,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.0960 hourly,$0.0564 hourly,$0.1484 hourly,$0.0188 hourly,Microsoft Azure
Standard D2s v5,D2s v5,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.0960 hourly,$0.0566 hourly,$0.1486 hourly,$0.0188 hourly,Microsoft Azure
Standard D2 v3,D2 v3,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,50,$0.0960 hourly,$0.0572 hourly,$0.1492 hourly,$0.0188 hourly,Microsoft Azure
Standard D2 v4,D2 v4,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.0960 hourly,$0.0566 hourly,$0.1486 hourly,$0.0188 hourly,Microsoft Azure
Standard D2 v5,D2 v5,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.0960 hourly,$0.0566 hourly,$0.1486 hourly,$0.0188 hourly,Microsoft Azure
Standard DC1s v2,DC1s v2,4.0 GiB,1 vCPUs,4.00 GiB/vCPU,0,50,$0.0960 hourly,$0.0768 hourly,$0.1228 hourly,$0.0142 hourly,Microsoft Azure
Standard DC1s v3,DC1s v3,8.0 GiB,1 vCPUs,8.00 GiB/vCPU,0,0,$0.0960 hourly,$0.0768 hourly,$0.1228 hourly,$0.0142 hourly,Microsoft Azure
Standard F2,F2,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,32,$0.0990 hourly,$0.0619 hourly,$0.1539 hourly,$0.0200 hourly,Microsoft Azure
Standard F2s,F2s,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,8,$0.0990 hourly,$0.0619 hourly,$0.1539 hourly,$0.0200 hourly,Microsoft Azure
Standard E2ps v5,E2ps v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.1010 hourly,$0.0595 hourly,unavailable,unavailable,Microsoft Azure
Standard D2ads v5,D2ads v5,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,75,$0.1030 hourly,$0.0607 hourly,$0.1527 hourly,$0.0195 hourly,Microsoft Azure
Standard DC2ads v5,DC2ads v5,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,75,$0.1030 hourly,$0.0824 hourly,$0.1744 hourly,$0.1365 hourly,Microsoft Azure
D2ads v6,D2ads v6,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,75,$0.1040 hourly,unavailable,unavailable,$0.0490 hourly,Microsoft Azure
Standard D2ds v4,D2ds v4,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,75,$0.1130 hourly,$0.0664 hourly,$0.1584 hourly,$0.0205 hourly,Microsoft Azure
Standard D2ds v5,D2ds v5,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,75,$0.1130 hourly,$0.0667 hourly,$0.1587 hourly,$0.0205 hourly,Microsoft Azure
Standard D2d v4,D2d v4,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,75,$0.1130 hourly,$0.0664 hourly,$0.1584 hourly,$0.0205 hourly,Microsoft Azure
Standard D2d v5,D2d v5,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,75,$0.1130 hourly,$0.0667 hourly,$0.1587 hourly,$0.0205 hourly,Microsoft Azure
Standard E2as v5,E2as v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.1130 hourly,$0.0667 hourly,$0.1587 hourly,$0.0205 hourly,Microsoft Azure
Standard EC2as v5,EC2as v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.1130 hourly,$0.0904 hourly,$0.1824 hourly,$0.1435 hourly,Microsoft Azure
Standard DC1ds v3,DC1ds v3,8.0 GiB,1 vCPUs,8.00 GiB/vCPU,0,75,$0.1130 hourly,$0.0904 hourly,$0.1364 hourly,$0.0159 hourly,Microsoft Azure
Standard E2pds v5,E2pds v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75,$0.1150 hourly,$0.0679 hourly,unavailable,unavailable,Microsoft Azure
B4pls v2,B4pls v2,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,0,$0.1190 hourly,$0.0702 hourly,unavailable,unavailable,Microsoft Azure
Standard A2m v2,A2m v2,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,20,$0.1190 hourly,$0.0700 hourly,$0.1620 hourly,$0.0180 hourly,Microsoft Azure
Basic A2,A2,3.5 GiB,2 vCPUs,1.75 GiB/vCPU,0,60,$0.1200 hourly,unavailable,unavailable,$0.1260 hourly,Microsoft Azure
Standard E2as v4,E2as v4,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,32,$0.1260 hourly,$0.0741 hourly,$0.1661 hourly,$0.0218 hourly,Microsoft Azure
Standard E2a v4,E2a v4,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,50,$0.1260 hourly,$0.0741 hourly,$0.1661 hourly,$0.0218 hourly,Microsoft Azure
Standard E2s v3,E2s v3,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,32,$0.1260 hourly,$0.0782 hourly,$0.1702 hourly,$0.0218 hourly,Microsoft Azure
Standard E2s v4,E2s v4,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.1260 hourly,$0.0741 hourly,$0.1661 hourly,$0.0218 hourly,Microsoft Azure
Standard E2s v5,E2s v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.1260 hourly,$0.0743 hourly,$0.1663 hourly,$0.0218 hourly,Microsoft Azure
Standard E2 v3,E2 v3,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,50,$0.1260 hourly,$0.0782 hourly,$0.1702 hourly,$0.0218 hourly,Microsoft Azure
Standard E2 v4,E2 v4,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.1260 hourly,$0.0741 hourly,$0.1661 hourly,$0.0218 hourly,Microsoft Azure
Standard E2 v5,E2 v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.1260 hourly,$0.0743 hourly,$0.1663 hourly,$0.0218 hourly,Microsoft Azure
F2als v6,F2als v6,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,0,$0.1260 hourly,unavailable,unavailable,$0.0545 hourly,Microsoft Azure
Standard E2ads v5,E2ads v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75,$0.1310 hourly,$0.0773 hourly,$0.1693 hourly,$0.0223 hourly,Microsoft Azure
Standard EC2ads v5,EC2ads v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75,$0.1310 hourly,$0.1048 hourly,$0.1968 hourly,$0.1561 hourly,Microsoft Azure
E2ads v6,E2ads v6,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75,$0.1320 hourly,unavailable,unavailable,$0.0560 hourly,Microsoft Azure
B4als v2,B4als v2,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,0,$0.1330 hourly,$0.0785 hourly,$0.0945 hourly,$0.0380 hourly,Microsoft Azure
B4ps v2,B4ps v2,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,0,$0.1340 hourly,$0.0793 hourly,unavailable,unavailable,Microsoft Azure
Standard D4pls v5,D4pls v5,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,0,$0.1360 hourly,$0.0803 hourly,unavailable,unavailable,Microsoft Azure
F2as v6,F2as v6,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.1420 hourly,unavailable,unavailable,$0.0585 hourly,Microsoft Azure
Standard E2ds v4,E2ds v4,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75,$0.1440 hourly,$0.0847 hourly,$0.1767 hourly,$0.0236 hourly,Microsoft Azure
Standard E2ds v5,E2ds v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75,$0.1440 hourly,$0.0849 hourly,$0.1769 hourly,$0.0236 hourly,Microsoft Azure
Standard E2d v4,E2d v4,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75,$0.1440 hourly,$0.0847 hourly,$0.1767 hourly,$0.0236 hourly,Microsoft Azure
Standard E2d v5,E2d v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75,$0.1440 hourly,$0.0849 hourly,$0.1769 hourly,$0.0236 hourly,Microsoft Azure
D4als v6,D4als v6,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,0,$0.1460 hourly,unavailable,unavailable,$0.0825 hourly,Microsoft Azure
Standard D2 v2,D2 v2,7.0 GiB,2 vCPUs,3.50 GiB/vCPU,0,100,$0.1460 hourly,$0.0618 hourly,$0.1538 hourly,$0.0263 hourly,Microsoft Azure
Standard DS2 v2,DS2 v2,7.0 GiB,2 vCPUs,3.50 GiB/vCPU,0,14,$0.1460 hourly,$0.0618 hourly,$0.1538 hourly,$0.0263 hourly,Microsoft Azure
B4ls v2,B4ls v2,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,0,$0.1470 hourly,$0.0870 hourly,$0.1030 hourly,$0.0415 hourly,Microsoft Azure
Standard E2bs v5,E2bs v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.1490 hourly,$0.0879 hourly,$0.1799 hourly,$0.0241 hourly,Microsoft Azure
B4as v2,B4as v2,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,0,$0.1500 hourly,$0.0887 hourly,$0.1047 hourly,$0.0423 hourly,Microsoft Azure
Standard D4plds v5,D4plds v5,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,150,$0.1540 hourly,$0.0906 hourly,unavailable,unavailable,Microsoft Azure
Standard D4ps v5,D4ps v5,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,0,$0.1540 hourly,$0.0909 hourly,unavailable,unavailable,Microsoft Azure
Standard D2,D2,7.0 GiB,2 vCPUs,3.50 GiB/vCPU,0,100,$0.1540 hourly,$0.0814 hourly,$0.1734 hourly,$0.0280 hourly,Microsoft Azure
D2s,D2s,7.0 GiB,2 vCPUs,3.50 GiB/vCPU,0,14,$0.1540 hourly,$0.0814 hourly,$0.1734 hourly,$0.0280 hourly,Microsoft Azure
Standard B4ms,B4ms,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,32,$0.1660 hourly,$0.0974 hourly,$0.1134 hourly,unavailable,Microsoft Azure
B4s v2,B4s v2,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,0,$0.1660 hourly,$0.0982 hourly,$0.1142 hourly,$0.0462 hourly,Microsoft Azure
Standard E2bds v5,E2bds v5,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75,$0.1670 hourly,$0.0985 hourly,$0.1905 hourly,$0.0259 hourly,Microsoft Azure
Standard F4s v2,F4s v2,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,32,$0.1690 hourly,$0.1000 hourly,$0.2840 hourly,$0.0326 hourly,Microsoft Azure
D4ls v5,D4ls v5,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,0,$0.1700 hourly,$0.1003 hourly,$0.2843 hourly,$0.0885 hourly,Microsoft Azure
Standard D4as v5,D4as v5,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,0,$0.1720 hourly,$0.1015 hourly,$0.2855 hourly,$0.0356 hourly,Microsoft Azure
Standard DC4as v5,DC4as v5,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,0,$0.1720 hourly,$0.1376 hourly,$0.3216 hourly,$0.2492 hourly,Microsoft Azure
D4alds v6,D4alds v6,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,150,$0.1730 hourly,unavailable,unavailable,$0.0892 hourly,Microsoft Azure
D2as v6,D2as v6,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,0,$0.1750 hourly,unavailable,unavailable,$0.0437 hourly,Microsoft Azure
Standard D4pds v5,D4pds v5,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,150,$0.1810 hourly,$0.1066 hourly,unavailable,unavailable,Microsoft Azure
Standard D11 v2,D11 v2,14.0 GiB,2 vCPUs,7.00 GiB/vCPU,0,100,$0.1850 hourly,$0.0881 hourly,$0.1801 hourly,$0.0275 hourly,Microsoft Azure
Standard DS11,DS11-1 v2,14.0 GiB,2 vCPUs,7.00 GiB/vCPU,0,28,$0.1850 hourly,$0.0881 hourly,$0.1801 hourly,$0.0275 hourly,Microsoft Azure
Standard DS11 v2,DS11 v2,14.0 GiB,2 vCPUs,7.00 GiB/vCPU,0,28,$0.1850 hourly,$0.0881 hourly,$0.1801 hourly,$0.0275 hourly,Microsoft Azure
F2ams v6,F2ams v6,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.1860 hourly,unavailable,unavailable,$0.0695 hourly,Microsoft Azure
Standard A4 v2,A4 v2,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,40,$0.1910 hourly,$0.1127 hourly,$0.2967 hourly,$0.0286 hourly,Microsoft Azure
Standard D4as v4,D4as v4,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,32,$0.1920 hourly,$0.1129 hourly,$0.2969 hourly,$0.0376 hourly,Microsoft Azure
Standard D4a v4,D4a v4,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,100,$0.1920 hourly,$0.1129 hourly,$0.2969 hourly,$0.0376 hourly,Microsoft Azure
D4lds v5,D4lds v5,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,150,$0.1920 hourly,$0.1132 hourly,$0.2972 hourly,$0.0940 hourly,Microsoft Azure
Standard D4s v3,D4s v3,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,32,$0.1920 hourly,$0.1145 hourly,$0.2985 hourly,$0.0376 hourly,Microsoft Azure
Standard D4s v4,D4s v4,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,0,$0.1920 hourly,$0.1129 hourly,$0.2969 hourly,$0.0376 hourly,Microsoft Azure
Standard D4s v5,D4s v5,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,0,$0.1920 hourly,$0.1132 hourly,$0.2972 hourly,$0.0376 hourly,Microsoft Azure
Standard D4 v3,D4 v3,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,100,$0.1920 hourly,$0.1145 hourly,$0.2985 hourly,$0.0376 hourly,Microsoft Azure
Standard D4 v4,D4 v4,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,0,$0.1920 hourly,$0.1132 hourly,$0.2972 hourly,$0.0376 hourly,Microsoft Azure
Standard D4 v5,D4 v5,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,0,$0.1920 hourly,$0.1132 hourly,$0.2972 hourly,$0.0376 hourly,Microsoft Azure
Standard DC2s v2,DC2s v2,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,100,$0.1920 hourly,$0.1537 hourly,$0.2457 hourly,$0.0284 hourly,Microsoft Azure
Standard DC2s v3,DC2s v3,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.1920 hourly,$0.1537 hourly,$0.2457 hourly,$0.0284 hourly,Microsoft Azure
Standard D11,D11,14.0 GiB,2 vCPUs,7.00 GiB/vCPU,0,100,$0.1930 hourly,$0.1161 hourly,$0.2081 hourly,$0.0264 hourly,Microsoft Azure
D11s,D11s,14.0 GiB,2 vCPUs,7.00 GiB/vCPU,0,28,$0.1930 hourly,$0.1161 hourly,$0.2081 hourly,$0.0264 hourly,Microsoft Azure
Standard F4,F4,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,64,$0.1990 hourly,$0.1248 hourly,$0.3088 hourly,$0.0399 hourly,Microsoft Azure
Standard F4s,F4s,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,16,$0.1990 hourly,$0.1248 hourly,$0.3088 hourly,$0.0399 hourly,Microsoft Azure
E2as v6,E2as v6,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,0,$0.2000 hourly,unavailable,unavailable,$0.0270 hourly,Microsoft Azure
Standard E4ps v5,E4ps v5,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,0,$0.2020 hourly,$0.1190 hourly,unavailable,unavailable,Microsoft Azure
Standard D4ads v5,D4ads v5,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,150,$0.2060 hourly,$0.1216 hourly,$0.3056 hourly,$0.0390 hourly,Microsoft Azure
Standard DC4ads v5,DC4ads v5,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,150,$0.2060 hourly,$0.1648 hourly,$0.3488 hourly,$0.2730 hourly,Microsoft Azure
D4ads v6,D4ads v6,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,150,$0.2080 hourly,unavailable,unavailable,$0.0980 hourly,Microsoft Azure
Standard D4ds v4,D4ds v4,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,150,$0.2260 hourly,$0.1329 hourly,$0.3169 hourly,$0.0410 hourly,Microsoft Azure
Standard D4ds v5,D4ds v5,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,150,$0.2260 hourly,$0.1333 hourly,$0.3173 hourly,$0.0410 hourly,Microsoft Azure
Standard D4d v4,D4d v4,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,150,$0.2260 hourly,$0.1329 hourly,$0.3169 hourly,$0.0410 hourly,Microsoft Azure
Standard D4d v5,D4d v5,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,150,$0.2260 hourly,$0.1333 hourly,$0.3173 hourly,$0.0410 hourly,Microsoft Azure
Standard E4as v5,E4as v5,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,0,$0.2260 hourly,$0.1333 hourly,$0.3173 hourly,$0.0410 hourly,Microsoft Azure
Standard EC4as v5,EC4as v5,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,0,$0.2260 hourly,$0.1808 hourly,$0.3648 hourly,$0.2870 hourly,Microsoft Azure
Standard DC2ds v3,DC2ds v3,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,150,$0.2260 hourly,$0.1808 hourly,$0.2728 hourly,$0.0318 hourly,Microsoft Azure
Standard E4pds v5,E4pds v5,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,150,$0.2300 hourly,$0.1360 hourly,unavailable,unavailable,Microsoft Azure
Standard A4m v2,A4m v2,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,40,$0.2370 hourly,$0.1401 hourly,$0.3241 hourly,$0.0360 hourly,Microsoft Azure
B8pls v2,B8pls v2,16.0 GiB,8 vCPUs,2.00 GiB/vCPU,0,0,$0.2380 hourly,$0.1404 hourly,unavailable,unavailable,Microsoft Azure
Basic A3,A3,7.0 GiB,4 vCPUs,1.75 GiB/vCPU,0,120,$0.2400 hourly,unavailable,unavailable,$0.2520 hourly,Microsoft Azure
Standard A5,A5,14.0 GiB,2 vCPUs,7.00 GiB/vCPU,0,135,$0.2500 hourly,unavailable,unavailable,$0.2310 hourly,Microsoft Azure
F4als v6,F4als v6,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,0,$0.2510 hourly,unavailable,unavailable,$0.1087 hourly,Microsoft Azure
E4-2ads v5,E4-2ads v5,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,150,$0.2520 hourly,$0.1486 hourly,$0.3326 hourly,$0.0436 hourly,Microsoft Azure
Standard E4as v4,E4as v4,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,64,$0.2520 hourly,$0.1482 hourly,$0.3322 hourly,$0.0436 hourly,Microsoft Azure
Standard E4a v4,E4a v4,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,100,$0.2520 hourly,$0.1482 hourly,$0.3322 hourly,$0.0436 hourly,Microsoft Azure
Standard E4s v3,E4s v3,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,64,$0.2520 hourly,$0.1564 hourly,$0.3404 hourly,$0.0436 hourly,Microsoft Azure
Standard E4s v4,E4s v4,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,0,$0.2520 hourly,$0.1482 hourly,$0.3322 hourly,$0.0436 hourly,Microsoft Azure
